cycle,name,loc_x,loc_y,heading,speed,drive_ov
0,normalcar28,2900,1300,90,0.0,False
5,normalcar28,2900.0,1363.341509897013,90,12.6683019794026,True
10,normalcar28,2900.0,1403.550341101125,90,8.04176624082236,True
15,normalcar28,2900.0,1468.1281440880189,90,12.91556059737876,True
20,normalcar28,2900.0,1533.841556666923,90,13.142682515780832,True
25,normalcar28,2900.0,1579.7533109921962,90,9.18235086505464,True
30,normalcar28,2900.0,1600,90,8.193742057746066,True
35,normalcar28,2965.8036376550926,1600,0,13.16072753101854,True
40,normalcar28,3000,1600,0,10.95853987350704,True
45,normalcar28,3000,1600,0,11.270749689250618,True
50,normalcar28,3000,1600,0,12.42135873323532,True
55,normalcar28,3000,1600,0,13.178758644602318,True
60,normalcar28,3000,1600,0,8.648196198363111,True
65,normalcar28,3000,1600,0,9.33251040454147,True
70,normalcar28,2956.665283774551,1600,180,8.666943245089776,True
75,normalcar28,2903.4604956941785,1600,180,10.640957616074502,True
80,normalcar28,2834.662548960205,1600,180,13.759589346794662,True
85,normalcar28,2782.3865141481388,1600,180,10.455206962413317,True
90,normalcar28,2782.3865141481388,1532.1908343825971,270,13.561833123480586,True
95,normalcar28,2782.3865141481388,1489.1633196889438,270,8.60550293873066,True
100,normalcar28,2782.3865141481388,1441.325601943534,270,9.567543549081968,True
105,normalcar28,2740.4952665433616,1441.325601943534,180,8.378249520955425,True
110,normalcar28,2693.445314028334,1441.325601943534,180,9.409990503005515,True
115,normalcar28,2647.100485791792,1441.325601943534,180,9.268965647308454,True
120,normalcar28,2587.78582039625,1441.325601943534,180,11.862933079108341,True
125,normalcar28,2527.584750128169,1441.325601943534,180,12.040214053616218,True
130,normalcar28,2487.2647096122837,1441.325601943534,180,8.064008103177061,True
135,normalcar28,2435.6617283319783,1441.325601943534,180,10.320596256061073,True
140,normalcar28,2391.5001368008498,1441.325601943534,180,8.832318306225757,True
145,normalcar28,2325.789183928243,1441.325601943534,180,13.142190574521369,True
150,normalcar28,2281.968170951104,1441.325601943534,180,8.764202595427735,True
155,normalcar28,2216.9660651504823,1441.325601943534,180,13.00042116012435,True
160,normalcar28,2274.513856793587,1441.325601943534,0,11.509558328620885,True
165,normalcar28,2322.256897968113,1441.325601943534,0,9.548608234905224,True
170,normalcar28,2372.750135337773,1441.325601943534,0,10.098647473931905,True
175,normalcar28,2422.9689526344096,1441.325601943534,0,10.043763459327321,True
180,normalcar28,2422.9689526344096,1398.6563469926732,270,8.533850990172136,True
185,normalcar28,2422.9689526344096,1351.9389179173018,270,9.343485815074308,True
190,normalcar28,2422.9689526344096,1290.880107381,270,12.211762107260341,True
195,normalcar28,2422.9689526344096,1239.2486721651221,270,10.326287043175558,True
200,normalcar28,2422.9689526344096,1175.0470721853426,270,12.840319995955923,True
205,normalcar28,2422.9689526344096,1105.7324093798593,270,13.86293256109664,True
210,normalcar28,2366.5112216711354,1105.7324093798593,180,11.291546192654858,True
215,normalcar28,2307.4303090281874,1105.7324093798593,180,11.81618252858965,True
220,normalcar28,2251.9517376570984,1105.7324093798593,180,11.09571427421778,True
225,normalcar28,2205.638345047196,1105.7324093798593,180,9.262678521980558,True
230,normalcar28,2141.4858684855885,1105.7324093798593,180,12.830495312321471,True
235,normalcar28,2085.6858845006714,1105.7324093798593,180,11.159996796983474,True
240,normalcar28,2029.943134146356,1105.7324093798593,180,11.148550070863086,True
245,normalcar28,1969.9471125864704,1105.7324093798593,180,11.999204311977103,True
250,normalcar28,1905.7944083206592,1105.7324093798593,180,12.830540853162269,True
255,normalcar28,1852.3487887704448,1105.7324093798593,180,10.689123910042856,True
260,normalcar28,1903.3604867369388,1105.7324093798593,0,10.202339593298781,True
265,normalcar28,1970.0367074752337,1105.7324093798593,0,13.335244147658976,True
270,normalcar28,2010.1396944606443,1105.7324093798593,0,8.020597397082117,True
275,normalcar28,1954.8559571132348,1105.7324093798593,180,11.056747469481884,True
280,normalcar28,1897.449464272294,1105.7324093798593,180,11.481298568188144,True
285,normalcar28,1836.149191017277,1105.7324093798593,180,12.260054651003436,True
290,normalcar28,1894.6485610988352,1105.7324093798593,0,11.699874016311654,True
295,normalcar28,1941.2865531339473,1105.7324093798593,0,9.327598407022442,True
300,normalcar28,1984.8547708771382,1105.7324093798593,0,8.713643548638153,True
305,normalcar28,2050.6445824233983,1105.7324093798593,0,13.157962309252063,True
310,normalcar28,2106.156936742251,1105.7324093798593,0,11.102470863770609,True
315,normalcar28,2106.156936742251,1171.816858795202,90,13.216889883068538,True
320,normalcar28,2106.156936742251,1234.9929415372876,90,12.635216548417102,True
325,normalcar28,2106.156936742251,1303.249568146818,90,13.651325321906075,True
330,normalcar28,2106.156936742251,1346.0338787450937,90,8.556862119655143,True
335,normalcar28,2106.156936742251,1396.6972523740899,90,10.132674725799252,True
340,normalcar28,2045.6003914144605,1396.6972523740899,180,12.111309065558135,True
345,normalcar28,2005.3418325859957,1396.6972523740899,180,8.051711765692982,True
350,normalcar28,2005.3418325859957,1442.2414474973068,90,9.108839024643402,True
355,normalcar28,2054.5797288868207,1442.2414474973068,0,9.847579260165034,True
360,normalcar28,2102.358686696849,1442.2414474973068,0,9.555791562005684,True
365,normalcar28,2145.2529581513495,1442.2414474973068,0,8.578854290900102,True
370,normalcar28,2206.2670466387867,1442.2414474973068,0,12.202817697487458,True
375,normalcar28,2266.554397236337,1442.2414474973068,0,12.057470119510068,True
380,normalcar28,2316.3244170051776,1442.2414474973068,0,9.954003953768066,True
