cycle,name,loc_x,loc_y,heading,speed,drive_ov
0,normalcar76,1000,1400,270,0.0,False
5,normalcar76,1000.0,1331.6713520577134,270,13.665729588457333,True
10,normalcar76,1000.0,1287.3503011666703,270,8.8642101782086,True
15,normalcar76,1000.0,1233.571427524116,270,10.75577472851085,True
20,normalcar76,1000.0,1171.069309857977,270,12.500423533227792,True
25,normalcar76,1000.0,1126.0677623803886,270,9.000309495517703,True
30,normalcar76,1000.0,1071.798084106474,270,10.8539356547829,True
35,normalcar76,1000.0,1025.8292189713595,270,9.193773027022914,True
40,normalcar76,1000.0,962.5704132940792,270,12.651761135456049,True
45,normalcar76,942.3194925938991,962.5704132940792,180,11.53610148122018,True
50,normalcar76,876.7811378822004,962.5704132940792,180,13.107670942339738,True
55,normalcar76,819.6197871688183,962.5704132940792,180,11.432270142676401,True
60,normalcar76,761.3816403517984,962.5704132940792,180,11.647629363403983,True
65,normalcar76,709.5175990241628,962.5704132940792,180,10.37280826552712,True
70,normalcar76,668.059781016675,962.5704132940792,180,8.291563601497568,True
75,normalcar76,598.8754572438177,962.5704132940792,180,13.836864754571465,True
80,normalcar76,555.6619779895913,962.5704132940792,180,8.64269585084528,True
85,normalcar76,497.9057047052667,962.5704132940792,180,11.551254656864913,True
90,normalcar76,446.97254629136535,962.5704132940792,180,10.186631682780268,True
95,normalcar76,394.06333590838517,962.5704132940792,180,10.581842076596036,True
100,normalcar76,335.9233868383557,962.5704132940792,180,11.62798981400589,True
105,normalcar76,300,962.5704132940792,180,10.461663068890672,True
110,normalcar76,300,962.5704132940792,180,13.167698386866391,True
115,normalcar76,300,962.5704132940792,180,12.802553219457216,True
120,normalcar76,300,962.5704132940792,180,11.829116249417803,True
125,normalcar76,300,962.5704132940792,180,12.638613951132974,True
130,normalcar76,300,962.5704132940792,180,8.675791861401832,True
135,normalcar76,300,962.5704132940792,180,9.137441688557818,True
140,normalcar76,300,895.4152475268395,270,13.431033153447935,True
145,normalcar76,300,828.8412931547508,270,13.314790874417735,True
150,normalcar76,300,769.2118670447588,270,11.925885221998396,True
155,normalcar76,300,727.1656011580928,270,8.409253177333207,True
160,normalcar76,300,660.0665883471786,270,13.419802562182856,True
165,normalcar76,300,609.9318126573743,270,10.026955137960872,True
170,normalcar76,300,554.9763065228823,270,10.991101226898403,True
175,normalcar76,300,503.813392183813,270,10.232582867813854,True
180,normalcar76,300,442.13942429899873,270,12.334793576962852,True
185,normalcar76,300,379.6740953504549,270,12.493065789708776,True
190,normalcar76,300,313.93764800747704,270,13.147289468595574,True
195,normalcar76,300,263.52929600301434,270,10.081670400892541,True
200,normalcar76,300,263.52929600301434,180,11.976624929200153,True
205,normalcar76,300,263.52929600301434,180,8.773623294116069,True
210,normalcar76,300,263.52929600301434,180,12.227700419767256,True
215,normalcar76,300,333.24632671281927,90,13.943406141960985,True
220,normalcar76,300,388.86442893904746,90,11.123620445245633,True
225,normalcar76,300,453.87213468556513,90,13.001541149303527,True
230,normalcar76,300,517.258614135901,90,12.677295890067164,True
235,normalcar76,300,517.258614135901,180,13.205622931250428,True
240,normalcar76,300,517.258614135901,180,13.913066118787405,True
245,normalcar76,300,517.258614135901,180,10.352493532341596,True
250,normalcar76,300,517.258614135901,180,11.663593478912784,True
255,normalcar76,300,517.258614135901,180,10.461603301241974,True
260,normalcar76,300,517.258614135901,180,13.550348355594682,True
265,normalcar76,300,517.258614135901,180,11.92094885638559,True
270,normalcar76,300,517.258614135901,180,9.471274797804025,True
275,normalcar76,300,517.258614135901,180,13.544067737944985,True
280,normalcar76,300,517.258614135901,180,13.039546173887809,True
285,normalcar76,300,517.258614135901,180,9.298855218525805,True
290,normalcar76,300,517.258614135901,180,8.013078959836854,True
295,normalcar76,300,517.258614135901,180,11.835079613624023,True
300,normalcar76,300,578.0002637889229,90,12.148329930604387,True
305,normalcar76,300,642.0315802393226,90,12.806263290079942,True
310,normalcar76,300,601.5283838884968,270,8.100639270165146,True
315,normalcar76,300,649.9314336027022,90,9.68060994284109,True
320,normalcar76,300,716.6601016754523,90,13.345733614550031,True
325,normalcar76,300,780.1992787241912,90,12.707835409747773,True
